x,y,z,Mx,My,Mz
108.0,186.0,-15.0,-19534.409496539847,-50503.08354267208,-8.005557470497503e-11
108.0,186.0,-10.0,-19018.086616267752,-49790.69239274442,-2375.512001056957
108.0,186.0,-5.0,-18597.6310642399,-48740.285678500026,-3973.7537563142228
108.0,186.0,0.0,-16239.172656232162,-47677.606392788766,-2780.35042710476
108.0,191.0,-30.0,-15770.930605526095,-43422.34689862825,2738.1333077679396
108.0,191.0,-25.0,-17663.4468334938,-44658.77993412989,3046.394694442095
108.0,191.0,-20.0,-18317.208757202643,-45236.668693969346,1904.3305095232365
108.0,191.0,-15.0,-18464.080580857008,-46072.605037726375,8.794249279415252e-10
108.0,191.0,-10.0,-18317.208757203192,-45236.66869397047,-1904.3305095224505
108.0,191.0,-5.0,-17663.446833493537,-44658.77993413126,-3046.3946944417667
108.0,191.0,0.0,-15770.93060552678,-43422.34689862811,-2738.1333077671366
108.0,196.0,-30.0,-14811.298370801087,-39730.218673082825,1420.3172632513836
108.0,196.0,-25.0,-16742.633800967178,-41314.254864373164,3052.5148421653294
108.0,196.0,-20.0,-18022.71721664136,-42032.95964531387,1762.820870894482
108.0,196.0,-15.0,-18109.993271113697,-42710.65340047777,3.248473031788073e-10
108.0,196.0,-10.0,-18022.717216642173,-42032.95964531503,-1762.8208708929985
108.0,196.0,-5.0,-16742.63380096663,-41314.25486437232,-3052.5148421648164
108.0,196.0,0.0,-14811.298370799992,-39730.21867308245,-1420.3172632497651
108.0,201.0,-30.0,0.0,0.0,0.0
108.0,201.0,-25.0,0.0,0.0,0.0
108.0,201.0,-20.0,0.0,0.0,0.0
108.0,201.0,-15.0,0.0,0.0,0.0
108.0,201.0,-10.0,0.0,0.0,0.0
108.0,201.0,-5.0,0.0,0.0,0.0
108.0,201.0,0.0,0.0,0.0,0.0
108.0,206.0,-30.0,0.0,0.0,0.0
108.0,206.0,-25.0,0.0,0.0,0.0
108.0,206.0,-20.0,0.0,0.0,0.0
108.0,206.0,-15.0,0.0,0.0,0.0
108.0,206.0,-10.0,0.0,0.0,0.0
108.0,206.0,-5.0,0.0,0.0,0.0
108.0,206.0,0.0,0.0,0.0,0.0
108.0,211.0,-30.0,0.0,0.0,0.0
108.0,211.0,-25.0,0.0,0.0,0.0
108.0,211.0,-20.0,0.0,0.0,0.0
108.0,211.0,-15.0,0.0,0.0,0.0
108.0,211.0,-10.0,0.0,0.0,0.0
108.0,211.0,-5.0,0.0,0.0,0.0
108.0,211.0,0.0,0.0,0.0,0.0
108.0,216.0,-30.0,0.0,0.0,0.0
108.0,216.0,-25.0,0.0,0.0,0.0
108.0,216.0,-20.0,0.0,0.0,0.0
108.0,216.0,-15.0,0.0,0.0,0.0
