x,y,z,Mx,My,Mz
116.0,147.0,-23.0,-38106.846420414426,-104754.93548263294,-6486.446389333016
116.0,147.0,-18.0,-52729.42935438965,-116488.0529075392,-3746.4621275148315
116.0,147.0,-13.0,-55787.25125790756,-119263.5355927916,2067.240710410907
116.0,147.0,-8.0,-50039.513036410906,-116796.89182059474,4430.134902442806
116.0,147.0,-3.0,-42453.79937394799,-113980.47246671107,11452.042802534615
116.0,152.0,-28.0,-26776.864119525046,-88070.6519956713,-9617.525804224251
116.0,152.0,-23.0,-45018.99979888325,-104064.16752676693,-9047.275979506454
116.0,152.0,-18.0,-52470.68217421348,-109487.92815252338,-5158.334671946622
116.0,152.0,-13.0,-58291.52565084491,-113380.40645637955,-250.27090522812662
116.0,152.0,-8.0,-54862.272560347,-112724.68658205413,8243.585918175155
116.0,152.0,-3.0,-44133.840453486606,-109204.19261450188,10012.578405439219
116.0,157.0,-28.0,-31795.72656803095,-88608.38113897524,-11101.676520335137
116.0,157.0,-23.0,-41623.25055075075,-97840.16385594425,-9832.911895232413
116.0,157.0,-18.0,-56707.843067826456,-107566.89261258297,-6313.5636999818125
116.0,157.0,-13.0,-59936.30438307044,-109606.51042512593,1786.8124130246329
116.0,157.0,-8.0,-54093.232971632395,-107830.79084676974,6318.653324626746
116.0,157.0,-3.0,-45554.5328033981,-106487.12230060878,14625.830074673626
116.0,162.0,-28.0,-27180.983008802395,-82574.02862367363,-10859.564352520201
116.0,162.0,-23.0,-44609.21172427863,-96726.05476797723,-10646.830799265368
116.0,162.0,-18.0,-52045.016821747915,-100793.35036020436,-6192.231292060339
116.0,162.0,-13.0,-57698.72421074698,-104107.68248126992,-804.2675755651014
116.0,162.0,-8.0,-53936.27950601356,-104043.26545028,8249.573278732056
116.0,162.0,-3.0,-43671.88300902222,-101610.63101830203,10823.023838607081
116.0,167.0,-28.0,-30751.501219300295,-81177.73135522018,-11102.81086600963
116.0,167.0,-23.0,-39424.5126582784,-88926.86781749087,-9881.19818745882
116.0,167.0,-18.0,-53287.00427509362,-97383.72534932714,-6600.473573164744
116.0,167.0,-13.0,-55934.53611332439,-98971.59847836102,816.3407463195704
116.0,167.0,-8.0,-50601.255850623835,-97648.0951171799,5033.117117637717
116.0,167.0,-3.0,-42997.719694631334,-96984.11052297556,13371.841466596452
116.0,172.0,-28.0,-25713.465074200303,-73188.40221565469,-9930.071909004095
116.0,172.0,-23.0,-41254.31503377337,-85779.57235918564,-9848.17384710335
116.0,172.0,-18.0,-47600.618371794226,-88838.95102437075,-5850.918136837356
116.0,172.0,-13.0,-52405.110204615405,-91700.52376010202,-1623.1654953380726
116.0,172.0,-8.0,-49002.07045334021,-91831.79996897692,6165.536578226546
116.0,172.0,-3.0,-39992.27827358171,-89748.577255218,8805.225156808221
116.0,177.0,-28.0,-29671.10041969763,-70952.91446350444,-10311.012458341882
116.0,177.0,-23.0,-36423.030825415495,-77384.02742285834,-8546.548437188087
116.0,177.0,-18.0,-48157.587754297805,-84276.21829367887,-5793.333512077255
116.0,177.0,-13.0,-50085.4077239357,-85401.17774600816,-164.20751733885075
116.0,177.0,-8.0,-45506.66196211264,-84218.2299699787,3099.180462749261
116.0,177.0,-3.0,-39116.00843388743,-84285.39268053303,10756.983867343146
116.0,182.0,-28.0,-25634.46141461724,-62399.4560153502,-8183.565538247229
116.0,182.0,-23.0,-39269.39087410709,-74425.45643101439,-8077.483733672464
116.0,182.0,-18.0,-43348.56057158853,-76912.56847241947,-4789.052479442668
116.0,182.0,-13.0,-47158.62782762102,-78788.63218008059,-2009.5402774039726
116.0,182.0,-8.0,-44565.18960277377,-78881.25308643574,4194.071902651185
116.0,182.0,-3.0,-37515.80291195253,-76103.57964420608,5630.011202358211
116.0,187.0,-28.0,-30436.76006878531,-60863.63738093803,-6638.5745308183
116.0,187.0,-23.0,-34503.9553926473,-66593.46197799519,-5680.078632192329
116.0,187.0,-18.0,-44083.68450203924,-73718.47368522821,-4121.726400287915
116.0,187.0,-13.0,-45203.185196845516,-74517.29028524851,-121.70618098357586
116.0,187.0,-8.0,-41505.47665754556,-71995.2096273825,1072.7127683284377
116.0,187.0,-3.0,-37569.19282735218,-71728.73519169062,6155.715647118805
116.0,192.0,-28.0,-25133.37969963419,-52840.53041334831,-3504.107581425472
116.0,192.0,-23.0,-35108.55401900126,-63383.26417953991,-3282.004946150929
116.0,192.0,-18.0,-36695.03054831926,-66637.98263362967,-1847.0164011312959
116.0,192.0,-13.0,-40180.99100536242,-68250.6173080754,-1731.478476184065
116.0,192.0,-8.0,-38398.77060748467,-67353.05172381132,1265.6517597840407
116.0,192.0,-3.0,-33625.37367312252,-63692.11993062663,1600.8530959849459
116.0,197.0,-28.0,-25389.818498047247,-48512.74812274791,-329.4061696145532
116.0,197.0,-23.0,-27752.848869123343,-53388.98083470984,-573.0384886401654
116.0,197.0,-18.0,-34463.143085412776,-59045.99701306563,-163.28661387961762
116.0,197.0,-13.0,-34868.98868755863,-59517.36765324004,-202.77179743012138
116.0,197.0,-8.0,-32776.56147618993,-57288.626993487174,-1090.0248769155598
116.0,197.0,-3.0,-30317.949025860442,-57126.39966701106,349.6721398016508
116.0,202.0,-28.0,-20258.05405507981,-40926.39156813048,1483.749017896726
116.0,202.0,-23.0,-27444.279173886647,-47854.53346626478,1717.080191908489
116.0,202.0,-18.0,-27261.256210816882,-49165.35969771634,348.244435235859
116.0,202.0,-13.0,-29006.09347733502,-50246.22920640375,-909.4370762699948
116.0,202.0,-8.0,-29597.055451022938,-50515.49315201903,-1520.3120025207008
116.0,202.0,-3.0,-26698.51196650919,-49024.88313547511,-3232.5769029125554
116.0,207.0,-28.0,-22517.616415488006,-36556.67268936829,2143.000177787779
116.0,207.0,-23.0,-23446.270420583154,-39949.31614976054,1779.4415556149372
116.0,207.0,-18.0,-27280.449075569904,-42192.56596907508,949.2259788046672
116.0,207.0,-13.0,-27648.363838495396,-42936.56191945034,-223.68431368287338
116.0,207.0,-8.0,-26742.478817522606,-43095.27323877668,-2332.676190047523
116.0,207.0,-3.0,-25676.277896282776,-43523.28510911662,-2879.962347905496
116.0,212.0,-28.0,-20458.3206767174,-30119.01010315697,1647.2761520472645
116.0,212.0,-23.0,-24816.81637227328,-34924.90016296234,2485.5855144863685
116.0,212.0,-18.0,-26282.665588496475,-37082.26026116229,1444.7952672881092
116.0,212.0,-13.0,-27483.976083283847,-37825.83459759064,-973.8681640228152
116.0,212.0,-8.0,-26752.45582990598,-37013.723362060824,-2179.0580816108154
116.0,212.0,-3.0,-25201.263391290417,-36724.57685342715,-3541.5665570109045
